codigo|nome|fantasia|documento|ie|endereco|bairro|cidade|ibge|cep|complemento|comple2|UF|tel1|tel2
000000000001|NENA INDUSTRIA QUIMICA LTDA|NENA|30876999000106|77573500|AV ALMEIDA GARRET|DUQUE DE CAXIAS|RIO DE JANEIRO||25231-160|430||RJ||
000000000002|AFJ ESQUADRIAS DE MADEIRAS LTDA EPP|ESQUADRIART|10893767000140|79468843|RODOVIA 416|RODEIO|SANTA CATARINA||89136-000|6474|RODEIO 12|SC|47-3384-3690|47-3384-0079
000000000003|FRETE DIVERSOS - SERVE MADEIRAS LTDA|FRETES|14171831000130|||||||||||
000000000004|MACASIL IND E COM DE COMPENSADOS LTDA EPP|MACASIL|12150265000155||RUA EMILIO KRONI|ROCIO|UNIAO VITORIA||84600-000|531||PR|42-3521-9200|
000000000005|COMPENSADOS BR LTDA|COMPENSADOS BR|80736432000102|251727742|RUA ITABORAI|D-EFAPI|CHAPECO||89809-080|235||SC|49-3328-6928|
000000000006|ARALIPTO LTDA ME|ARALIPTO|13332159000155||RUA 23 DE MAIO|CENTRO|ARACRUZ||29190-090|88||ES|27-3296-0870|27-8159-9664
000000000007|PRECON INDUSTRIAL S/A||23452238000153|4930732000028|RODOVIA MG|SUBURBIO|PEDRO LEOPOLDINO|3149309|33600-000|424|KM  38|MG||
000000000008|FAMOSSUL MADEIRAS S A||75190983000175|1220005590|AVENIDA PARANA|TRIGOLANDIA|PIEN|4119103|83860-971|970||PR|41- 3632-8300|
000000000009|HAGA SA INDUSTRA E COMERCIO||30540991000166|80846142|AVENIDA ENGENHEIRO HANS GAISER|CENTRO|NOVA FRIBURGO|3303401|28605-220|26||RJ|22- 2525-8000|
000000000010|COMERCIAL AUTOMOVEIS S/A||45987005013842|86139278|RODOVIA WASHINGTON LUIZ|PARQUE DUQUE|DUQUE DE CAXIAS|3301702|25085-008|1327||RJ||
